epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
132,19965.3,0.36977,0.18188,0.85109,0.99906,1,0.995,0.89971,0.47097,0.17438,0.86904,2.43389e-05,2.43389e-05,2.43389e-05
133,20116.4,0.36542,0.18262,0.84816,0.99949,1,0.995,0.90019,0.46543,0.17132,0.86621,2.23803e-05,2.23803e-05,2.23803e-05
134,20267.6,0.36919,0.18359,0.84933,0.99924,1,0.995,0.90206,0.46392,0.17121,0.86476,2.05227e-05,2.05227e-05,2.05227e-05
135,20418.5,0.36651,0.18399,0.84845,0.99956,1,0.995,0.9004,0.46897,0.17269,0.86594,1.87668e-05,1.87668e-05,1.87668e-05
136,20569.6,0.36689,0.18278,0.8462,0.99954,1,0.995,0.90189,0.46337,0.17116,0.86408,1.71135e-05,1.71135e-05,1.71135e-05
137,20720.8,0.37265,0.18583,0.85179,0.99953,1,0.995,0.90225,0.4642,0.17289,0.86453,1.55634e-05,1.55634e-05,1.55634e-05
138,20871.9,0.3615,0.17736,0.84605,0.99943,1,0.995,0.90076,0.46243,0.17054,0.86536,1.41173e-05,1.41173e-05,1.41173e-05
139,21023.1,0.36504,0.18298,0.84934,0.99907,1,0.995,0.90082,0.46333,0.17121,0.86567,1.27757e-05,1.27757e-05,1.27757e-05
140,21174.3,0.37118,0.18511,0.8498,0.99936,1,0.995,0.89958,0.46047,0.16974,0.865,1.15392e-05,1.15392e-05,1.15392e-05
141,21332.9,0.34201,0.15678,0.82306,0.99493,1,0.995,0.90327,0.46038,0.1769,0.86382,1.04085e-05,1.04085e-05,1.04085e-05
142,21484,0.33743,0.15649,0.82069,0.99506,1,0.99496,0.90625,0.45732,0.17594,0.8624,9.38391e-06,9.38391e-06,9.38391e-06
143,21635.3,0.33417,0.15295,0.82358,0.99516,1,0.995,0.90081,0.46153,0.17457,0.8639,8.46598e-06,8.46598e-06,8.46598e-06
144,21786.6,0.33721,0.1549,0.82762,0.99528,1,0.995,0.90041,0.46084,0.17408,0.86369,7.6551e-06,7.6551e-06,7.6551e-06
145,21937.7,0.33623,0.15388,0.82276,0.99536,1,0.995,0.90347,0.46021,0.17409,0.86293,6.95161e-06,6.95161e-06,6.95161e-06
146,22088.8,0.33335,0.15362,0.81516,0.99521,1,0.995,0.90263,0.46113,0.17502,0.86333,6.35583e-06,6.35583e-06,6.35583e-06
147,22239.8,0.33471,0.15354,0.82051,0.99534,1,0.995,0.90321,0.46119,0.17507,0.86389,5.86802e-06,5.86802e-06,5.86802e-06
148,22390.9,0.32995,0.15079,0.81597,0.99538,1,0.995,0.90206,0.46236,0.17562,0.86421,5.48838e-06,5.48838e-06,5.48838e-06
149,22542,0.33181,0.15217,0.8196,0.99544,1,0.995,0.9026,0.46279,0.17573,0.86411,5.2171e-06,5.2171e-06,5.2171e-06
150,22693.2,0.33265,0.15299,0.81733,0.99547,1,0.995,0.90102,0.46503,0.17557,0.86511,5.05428e-06,5.05428e-06,5.05428e-06
