epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
174,26340.2,0.31945,0.16454,0.84259,0.9997,1,0.995,0.89611,0.4744,0.16828,0.87917,0.000538554,0.000538554,0.000538554
175,26491.2,0.31916,0.16596,0.84039,0.99958,1,0.995,0.89723,0.47554,0.17011,0.87914,0.000507115,0.000507115,0.000507115
176,26642.1,0.31242,0.16121,0.84028,0.99959,1,0.995,0.89718,0.47372,0.16917,0.87871,0.000476796,0.000476796,0.000476796
177,26793,0.31386,0.16273,0.84019,0.99952,1,0.995,0.89719,0.47508,0.16911,0.87857,0.000447606,0.000447606,0.000447606
178,26943.8,0.31436,0.16316,0.8349,0.99963,1,0.995,0.89895,0.47404,0.16791,0.87798,0.000419552,0.000419552,0.000419552
179,27094.7,0.31238,0.16125,0.84101,0.99966,1,0.995,0.89509,0.47592,0.16899,0.87967,0.00039264,0.00039264,0.00039264
180,27245.8,0.31582,0.16207,0.83553,0.99966,1,0.995,0.89435,0.47614,0.1679,0.88049,0.000366877,0.000366877,0.000366877
181,27410.4,0.27615,0.13163,0.79499,0.99928,1,0.995,0.8988,0.47273,0.17094,0.87698,0.00034227,0.00034227,0.00034227
182,27561.3,0.26819,0.12927,0.79599,0.99932,1,0.995,0.90068,0.47138,0.1693,0.87596,0.000318825,0.000318825,0.000318825
183,27712.2,0.26641,0.12888,0.79484,0.99924,1,0.995,0.90009,0.47182,0.1692,0.87645,0.000296546,0.000296546,0.000296546
184,27863.3,0.26781,0.12929,0.7977,0.99929,1,0.995,0.90272,0.4723,0.16854,0.87638,0.000275441,0.000275441,0.000275441
